12340,54320,1000.0,1200.0
12341,54321,1001.0,1201.0
12342,54322,1002.0,1202.0
12343,54323,1003.0,1203.0
12344,54324,1004.0,1204.0
12345,54321,1005.0,1205.0
12346,54326,1006.0,1206.0
12347,54327,1007.0,1207.0
12348,54328,1008.0,1208.0
12349,54329,1009.0,1209.0
12350,54330,1010.0,1210.0
12351,54331,1011.0,1211.0
12352,54332,1012.0,1212.0
12353,54333,1013.0,1213.0
12354,54334,1014.0,1214.0
12355,54335,1015.0,1215.0
12356,54336,1016.0,1216.0
12357,54337,1017.0,1217.0
12358,54338,1018.0,1218.0
12359,54339,1019.0,1219.0
12360,54340,1020.0,1220.0
12361,54341,1021.0,1221.0
12362,54342,1022.0,1222.0
